t	V(n003)
4.000000000000000e+001	6.628267e-003
4.100000000000000e+001	6.633997e-003
4.200000000000000e+001	6.639888e-003
4.300000000000000e+001	6.645942e-003
4.400000000000000e+001	6.652161e-003
4.500000000000000e+001	6.658546e-003
4.600000000000000e+001	6.665099e-003
4.700000000000000e+001	6.671823e-003
4.800000000000000e+001	6.678717e-003
4.900000000000000e+001	6.685784e-003
5.000000000000000e+001	6.693025e-003
5.100000000000000e+001	6.700441e-003
5.200000000000000e+001	6.708032e-003
5.300000000000000e+001	6.715801e-003
5.400000000000000e+001	6.723747e-003
5.500000000000000e+001	6.731872e-003
5.600000000000000e+001	6.740177e-003
5.700000000000000e+001	6.748665e-003
5.800000000000000e+001	6.757342e-003
5.900000000000000e+001	6.766216e-003
6.000000000000000e+001	6.775309e-003
6.100000000000000e+001	6.784659e-003
6.200000000000000e+001	6.794351e-003
6.300000000000000e+001	6.804561e-003
6.400000000000000e+001	6.815657e-003
6.500000000000000e+001	6.828424e-003
6.600000000000000e+001	6.844540e-003
6.700000000000000e+001	6.867587e-003
6.800000000000000e+001	6.905122e-003
6.900000000000000e+001	6.972666e-003
7.000000000000000e+001	7.101806e-003
7.100000000000000e+001	7.389723e-003
7.200000000000000e+001	4.353383e-002
7.300000000000000e+001	9.270570e-002
7.400000000000000e+001	1.424692e-001
7.500000000000000e+001	1.927905e-001
7.600000000000000e+001	2.436477e-001
7.700000000000000e+001	2.950203e-001
7.800000000000000e+001	3.468871e-001
7.900000000000000e+001	3.992262e-001
8.000000000000000e+001	4.520167e-001
8.100000000000000e+001	5.052372e-001
8.200000000000000e+001	5.588660e-001
8.300000000000000e+001	6.128808e-001
8.400000000000000e+001	6.672589e-001
8.500000000000000e+001	7.219775e-001
8.600000000000000e+001	7.770130e-001
8.700000000000000e+001	8.323420e-001
8.800000000000000e+001	8.879405e-001
8.900000000000000e+001	9.437845e-001
9.000000000000000e+001	9.998499e-001
9.100000000000000e+001	1.056112e+000
9.200000000000000e+001	1.112547e+000
9.300000000000000e+001	1.169130e+000
9.400000000000000e+001	1.225837e+000
9.500000000000000e+001	1.282643e+000
9.600000000000000e+001	1.339525e+000
9.700000000000000e+001	1.396457e+000
9.800000000000000e+001	1.453417e+000
9.900000000000000e+001	1.510380e+000
1.000000000000000e+002	1.567323e+000
1.010000000000000e+002	1.624223e+000
1.020000000000000e+002	1.681057e+000
1.030000000000000e+002	1.737802e+000
1.040000000000000e+002	1.794436e+000
1.050000000000000e+002	1.850938e+000
1.060000000000000e+002	1.907286e+000
1.070000000000000e+002	1.963459e+000
1.080000000000000e+002	2.019437e+000
1.090000000000000e+002	2.075201e+000
1.100000000000000e+002	2.130730e+000
1.110000000000000e+002	2.186006e+000
1.120000000000000e+002	2.241011e+000
1.130000000000000e+002	2.295727e+000
1.140000000000000e+002	2.350138e+000
1.150000000000000e+002	2.404226e+000
1.160000000000000e+002	2.457977e+000
1.170000000000000e+002	2.511374e+000
1.180000000000000e+002	2.564403e+000
1.190000000000000e+002	2.617051e+000
1.200000000000000e+002	2.669303e+000
1.210000000000000e+002	2.721148e+000
1.220000000000000e+002	2.772574e+000
1.230000000000000e+002	2.823568e+000
1.240000000000000e+002	2.874120e+000
1.250000000000000e+002	2.924221e+000
1.260000000000000e+002	2.973860e+000
1.270000000000000e+002	3.023027e+000
1.280000000000000e+002	3.071712e+000
1.290000000000000e+002	3.119908e+000
1.300000000000000e+002	3.167604e+000
1.310000000000000e+002	3.214787e+000
1.320000000000000e+002	3.261401e+000
1.330000000000000e+002	3.288074e+000
1.340000000000000e+002	3.288359e+000
1.350000000000000e+002	3.288496e+000
1.360000000000000e+002	3.288567e+000
1.370000000000000e+002	3.288606e+000
1.380000000000000e+002	3.288630e+000
1.390000000000000e+002	3.288647e+000
1.400000000000000e+002	3.288660e+000
1.410000000000000e+002	3.288672e+000
1.420000000000000e+002	3.288683e+000
1.430000000000000e+002	3.288694e+000
1.440000000000000e+002	3.288704e+000
1.450000000000000e+002	3.288714e+000
1.460000000000000e+002	3.288724e+000
1.470000000000000e+002	3.288734e+000
1.480000000000000e+002	3.288744e+000
1.490000000000000e+002	3.288754e+000
1.500000000000000e+002	3.288763e+000
1.510000000000000e+002	3.288772e+000
1.520000000000000e+002	3.288782e+000
1.530000000000000e+002	3.288791e+000
1.540000000000000e+002	3.288800e+000
1.550000000000000e+002	3.288809e+000
1.560000000000000e+002	3.288818e+000
1.570000000000000e+002	3.288826e+000
1.580000000000000e+002	3.288835e+000
1.590000000000000e+002	3.288843e+000
1.600000000000000e+002	3.288852e+000
